episode,reward,deaths,completions,completed,frames_alive,coins_collected,blocks_hit,mushroom_blocks_hit,blocks_hit_ratio,max_x_reached,distance_traveled,jumps,reward_mode,Algorithm
1,67.83157191443621,1,0,0,331,0,0,0,0.0,1117,1085,9,explorer,PPO
2,227.2667176022057,1,0,0,466,5,6,1,0.3333333333333333,1140,1108,17,explorer,PPO
3,227.2667176022057,1,0,0,466,5,6,1,0.3333333333333333,1140,1108,17,explorer,PPO
4,206.7644617646883,1,0,0,417,5,6,1,0.3333333333333333,888,856,17,explorer,PPO
5,67.83157191443621,1,0,0,331,0,0,0,0.0,1117,1085,9,explorer,PPO
6,227.2667176022057,1,0,0,466,5,6,1,0.3333333333333333,1140,1108,17,explorer,PPO
7,227.2667176022057,1,0,0,466,5,6,1,0.3333333333333333,1140,1108,17,explorer,PPO
8,227.2667176022057,1,0,0,466,5,6,1,0.3333333333333333,1140,1108,17,explorer,PPO
9,67.83157191443621,1,0,0,331,0,0,0,0.0,1117,1085,9,explorer,PPO
10,226.3941529995162,1,0,0,485,5,6,1,0.3333333333333333,1113,1081,17,explorer,PPO
11,67.83157191443621,1,0,0,331,0,0,0,0.0,1117,1085,9,explorer,PPO
12,206.7644617646883,1,0,0,417,5,6,1,0.3333333333333333,888,856,17,explorer,PPO
13,67.83157191443621,1,0,0,331,0,0,0,0.0,1117,1085,9,explorer,PPO
14,227.2667176022057,1,0,0,466,5,6,1,0.3333333333333333,1140,1108,17,explorer,PPO
15,67.83157191443621,1,0,0,331,0,0,0,0.0,1117,1085,9,explorer,PPO
16,227.2667176022057,1,0,0,466,5,6,1,0.3333333333333333,1140,1108,17,explorer,PPO
17,67.83157191443621,1,0,0,331,0,0,0,0.0,1117,1085,9,explorer,PPO
18,227.2667176022057,1,0,0,466,5,6,1,0.3333333333333333,1140,1108,17,explorer,PPO
19,67.83157191443621,1,0,0,331,0,0,0,0.0,1117,1085,9,explorer,PPO
20,67.83157191443621,1,0,0,331,0,0,0,0.0,1117,1085,9,explorer,PPO
1,78.25500000000045,1,0,0,324,0,0,0,0.0,1238,1206,11,explorer,A2C
2,78.25500000000045,1,0,0,324,0,0,0,0.0,1238,1206,11,explorer,A2C
3,298.9950000000013,1,0,0,650,4,4,0,0.2222222222222222,2526,2494,20,explorer,A2C
4,32.78000000000027,1,0,0,219,0,0,0,0.0,818,786,7,explorer,A2C
5,33.20000000000027,1,0,0,220,0,0,0,0.0,822,790,7,explorer,A2C
6,76.04000000000045,1,0,0,322,0,0,0,0.0,1230,1198,10,explorer,A2C
7,120.87999999999988,1,0,0,374,1,1,0,0.0555555555555555,1438,1406,12,explorer,A2C
8,123.09499999999984,1,0,0,376,1,1,0,0.0555555555555555,1446,1414,13,explorer,A2C
9,121.29999999999986,1,0,0,375,1,1,0,0.0555555555555555,1442,1410,12,explorer,A2C
10,298.9950000000013,1,0,0,650,4,4,0,0.2222222222222222,2526,2494,20,explorer,A2C
11,33.620000000000275,1,0,0,221,0,0,0,0.0,826,794,8,explorer,A2C
12,32.78000000000027,1,0,0,219,0,0,0,0.0,818,786,7,explorer,A2C
13,32.78000000000027,1,0,0,219,0,0,0,0.0,818,786,7,explorer,A2C
14,76.04000000000045,1,0,0,322,0,0,0,0.0,1230,1198,10,explorer,A2C
15,33.620000000000275,1,0,0,221,0,0,0,0.0,826,794,8,explorer,A2C
16,33.20000000000027,1,0,0,220,0,0,0,0.0,822,790,7,explorer,A2C
17,33.620000000000275,1,0,0,221,0,0,0,0.0,826,794,8,explorer,A2C
18,298.9950000000013,1,0,0,650,4,4,0,0.2222222222222222,2526,2494,20,explorer,A2C
19,401.35500000000087,0,1,1,843,1,1,0,0.0555555555555555,3158,3126,25,explorer,A2C
20,401.35500000000087,0,1,1,843,1,1,0,0.0555555555555555,3158,3126,25,explorer,A2C
