episode,reward,deaths,completions,completed,frames_alive,coins_collected,blocks_hit,mushroom_blocks_hit,blocks_hit_ratio,max_x_reached,distance_traveled,jumps,reward_mode,Algorithm
1,550.2175825116474,1,0,0,668,0,0,0,0.0,2481,2449,20,speedrunner,PPO
2,140.40500000000046,1,0,0,219,0,0,0,0.0,817,785,7,speedrunner,PPO
3,272.76332000000104,1,0,0,357,0,0,0,0.0,1349,1317,12,speedrunner,PPO
4,549.9125825116473,1,0,0,669,0,0,0,0.0,2481,2449,20,speedrunner,PPO
5,141.40000000000046,1,0,0,220,0,0,0,0.0,821,789,7,speedrunner,PPO
6,550.3208625116472,1,0,0,670,0,0,0,0.0,2481,2449,21,speedrunner,PPO
7,141.60000000000045,1,0,0,220,0,0,0,0.0,822,790,7,speedrunner,PPO
8,550.2175825116474,1,0,0,668,0,0,0,0.0,2481,2449,20,speedrunner,PPO
9,141.40000000000046,1,0,0,220,0,0,0,0.0,821,789,7,speedrunner,PPO
10,549.7208625116472,1,0,0,670,0,0,0,0.0,2481,2449,21,speedrunner,PPO
11,272.76332000000104,1,0,0,357,0,0,0,0.0,1349,1317,12,speedrunner,PPO
12,550.2175825116474,1,0,0,668,0,0,0,0.0,2481,2449,20,speedrunner,PPO
13,550.2175825116474,1,0,0,668,0,0,0,0.0,2481,2449,20,speedrunner,PPO
14,142.59500000000045,1,0,0,221,0,0,0,0.0,826,794,8,speedrunner,PPO
15,550.2175825116474,1,0,0,668,0,0,0,0.0,2481,2449,20,speedrunner,PPO
16,142.39500000000046,1,0,0,221,0,0,0,0.0,825,793,8,speedrunner,PPO
17,549.7208625116472,1,0,0,670,0,0,0,0.0,2481,2449,21,speedrunner,PPO
18,219.01607927040084,1,0,0,317,0,0,0,0.0,1140,1108,9,speedrunner,PPO
19,550.2175825116474,1,0,0,668,0,0,0,0.0,2481,2449,20,speedrunner,PPO
20,550.2175825116474,1,0,0,668,0,0,0,0.0,2481,2449,20,speedrunner,PPO
1,139.4050000000004,1,0,0,219,0,0,0,0.0,818,786,7,speedrunner,A2C
2,259.8000000000009,1,0,0,340,1,1,0,0.0555555555555555,1302,1270,12,speedrunner,A2C
3,139.4050000000004,1,0,0,219,0,0,0,0.0,818,786,7,speedrunner,A2C
4,243.88000000000085,1,0,0,324,0,0,0,0.0,1238,1206,11,speedrunner,A2C
5,140.4000000000004,1,0,0,220,0,0,0,0.0,822,790,7,speedrunner,A2C
6,141.3950000000004,1,0,0,221,0,0,0,0.0,826,794,8,speedrunner,A2C
7,241.89000000000084,1,0,0,322,0,0,0,0.0,1230,1198,10,speedrunner,A2C
8,243.88000000000085,1,0,0,324,0,0,0,0.0,1238,1206,11,speedrunner,A2C
9,141.3950000000004,1,0,0,221,0,0,0,0.0,826,794,8,speedrunner,A2C
10,294.6250000000011,1,0,0,375,1,1,0,0.0555555555555555,1442,1410,12,speedrunner,A2C
11,259.8000000000009,1,0,0,340,1,1,0,0.0555555555555555,1302,1270,12,speedrunner,A2C
12,294.6250000000011,1,0,0,375,1,1,0,0.0555555555555555,1442,1410,12,speedrunner,A2C
13,295.6200000000011,1,0,0,376,1,1,0,0.0555555555555555,1446,1414,13,speedrunner,A2C
14,243.88000000000085,1,0,0,324,0,0,0,0.0,1238,1206,11,speedrunner,A2C
15,291.64000000000107,1,0,0,372,1,1,0,0.0555555555555555,1430,1398,11,speedrunner,A2C
16,140.4000000000004,1,0,0,220,0,0,0,0.0,822,790,7,speedrunner,A2C
17,1056.205000000004,0,1,1,827,3,3,0,0.1666666666666666,3158,3126,26,speedrunner,A2C
18,243.88000000000085,1,0,0,324,0,0,0,0.0,1238,1206,11,speedrunner,A2C
19,1055.8900000000042,0,1,1,828,2,2,0,0.1111111111111111,3158,3126,25,speedrunner,A2C
20,242.88500000000084,1,0,0,323,0,0,0,0.0,1234,1202,10,speedrunner,A2C
