episode,reward,deaths,completions,completed,frames_alive,coins_collected,blocks_hit,mushroom_blocks_hit,blocks_hit_ratio,max_x_reached,distance_traveled,jumps,reward_mode
1,139.4050000000004,1,0,0,219,0,0,0,0.0,818,786,7,speedrunner
2,259.8000000000009,1,0,0,340,1,1,0,0.05555555555555555,1302,1270,12,speedrunner
3,139.4050000000004,1,0,0,219,0,0,0,0.0,818,786,7,speedrunner
4,243.88000000000085,1,0,0,324,0,0,0,0.0,1238,1206,11,speedrunner
5,140.4000000000004,1,0,0,220,0,0,0,0.0,822,790,7,speedrunner
6,141.3950000000004,1,0,0,221,0,0,0,0.0,826,794,8,speedrunner
7,241.89000000000084,1,0,0,322,0,0,0,0.0,1230,1198,10,speedrunner
8,243.88000000000085,1,0,0,324,0,0,0,0.0,1238,1206,11,speedrunner
9,141.3950000000004,1,0,0,221,0,0,0,0.0,826,794,8,speedrunner
10,294.6250000000011,1,0,0,375,1,1,0,0.05555555555555555,1442,1410,12,speedrunner
11,259.8000000000009,1,0,0,340,1,1,0,0.05555555555555555,1302,1270,12,speedrunner
12,294.6250000000011,1,0,0,375,1,1,0,0.05555555555555555,1442,1410,12,speedrunner
13,295.6200000000011,1,0,0,376,1,1,0,0.05555555555555555,1446,1414,13,speedrunner
14,243.88000000000085,1,0,0,324,0,0,0,0.0,1238,1206,11,speedrunner
15,291.64000000000107,1,0,0,372,1,1,0,0.05555555555555555,1430,1398,11,speedrunner
16,140.4000000000004,1,0,0,220,0,0,0,0.0,822,790,7,speedrunner
17,1056.205000000004,0,1,1,827,3,3,0,0.16666666666666666,3158,3126,26,speedrunner
18,243.88000000000085,1,0,0,324,0,0,0,0.0,1238,1206,11,speedrunner
19,1055.8900000000042,0,1,1,828,2,2,0,0.1111111111111111,3158,3126,25,speedrunner
20,242.88500000000084,1,0,0,323,0,0,0,0.0,1234,1202,10,speedrunner
