episode,reward,deaths,completions,completed,frames_alive,coins_collected,blocks_hit,mushroom_blocks_hit,blocks_hit_ratio,max_x_reached,distance_traveled,jumps,reward_mode
1,67.83157191443621,1,0,0,331,0,0,0,0.0,1117,1085,9,explorer
2,227.2667176022057,1,0,0,466,5,6,1,0.3333333333333333,1140,1108,17,explorer
3,227.2667176022057,1,0,0,466,5,6,1,0.3333333333333333,1140,1108,17,explorer
4,206.7644617646883,1,0,0,417,5,6,1,0.3333333333333333,888,856,17,explorer
5,67.83157191443621,1,0,0,331,0,0,0,0.0,1117,1085,9,explorer
6,227.2667176022057,1,0,0,466,5,6,1,0.3333333333333333,1140,1108,17,explorer
7,227.2667176022057,1,0,0,466,5,6,1,0.3333333333333333,1140,1108,17,explorer
8,227.2667176022057,1,0,0,466,5,6,1,0.3333333333333333,1140,1108,17,explorer
9,67.83157191443621,1,0,0,331,0,0,0,0.0,1117,1085,9,explorer
10,226.3941529995162,1,0,0,485,5,6,1,0.3333333333333333,1113,1081,17,explorer
11,67.83157191443621,1,0,0,331,0,0,0,0.0,1117,1085,9,explorer
12,206.7644617646883,1,0,0,417,5,6,1,0.3333333333333333,888,856,17,explorer
13,67.83157191443621,1,0,0,331,0,0,0,0.0,1117,1085,9,explorer
14,227.2667176022057,1,0,0,466,5,6,1,0.3333333333333333,1140,1108,17,explorer
15,67.83157191443621,1,0,0,331,0,0,0,0.0,1117,1085,9,explorer
16,227.2667176022057,1,0,0,466,5,6,1,0.3333333333333333,1140,1108,17,explorer
17,67.83157191443621,1,0,0,331,0,0,0,0.0,1117,1085,9,explorer
18,227.2667176022057,1,0,0,466,5,6,1,0.3333333333333333,1140,1108,17,explorer
19,67.83157191443621,1,0,0,331,0,0,0,0.0,1117,1085,9,explorer
20,67.83157191443621,1,0,0,331,0,0,0,0.0,1117,1085,9,explorer
