episode,reward,deaths,completions,completed,frames_alive,coins_collected,blocks_hit,mushroom_blocks_hit,blocks_hit_ratio,max_x_reached,distance_traveled,jumps,reward_mode
1,550.2175825116474,1,0,0,668,0,0,0,0.0,2481,2449,20,speedrunner
2,140.40500000000046,1,0,0,219,0,0,0,0.0,817,785,7,speedrunner
3,272.76332000000104,1,0,0,357,0,0,0,0.0,1349,1317,12,speedrunner
4,549.9125825116473,1,0,0,669,0,0,0,0.0,2481,2449,20,speedrunner
5,141.40000000000046,1,0,0,220,0,0,0,0.0,821,789,7,speedrunner
6,550.3208625116472,1,0,0,670,0,0,0,0.0,2481,2449,21,speedrunner
7,141.60000000000045,1,0,0,220,0,0,0,0.0,822,790,7,speedrunner
8,550.2175825116474,1,0,0,668,0,0,0,0.0,2481,2449,20,speedrunner
9,141.40000000000046,1,0,0,220,0,0,0,0.0,821,789,7,speedrunner
10,549.7208625116472,1,0,0,670,0,0,0,0.0,2481,2449,21,speedrunner
11,272.76332000000104,1,0,0,357,0,0,0,0.0,1349,1317,12,speedrunner
12,550.2175825116474,1,0,0,668,0,0,0,0.0,2481,2449,20,speedrunner
13,550.2175825116474,1,0,0,668,0,0,0,0.0,2481,2449,20,speedrunner
14,142.59500000000045,1,0,0,221,0,0,0,0.0,826,794,8,speedrunner
15,550.2175825116474,1,0,0,668,0,0,0,0.0,2481,2449,20,speedrunner
16,142.39500000000046,1,0,0,221,0,0,0,0.0,825,793,8,speedrunner
17,549.7208625116472,1,0,0,670,0,0,0,0.0,2481,2449,21,speedrunner
18,219.01607927040084,1,0,0,317,0,0,0,0.0,1140,1108,9,speedrunner
19,550.2175825116474,1,0,0,668,0,0,0,0.0,2481,2449,20,speedrunner
20,550.2175825116474,1,0,0,668,0,0,0,0.0,2481,2449,20,speedrunner
