episode,reward,shots,pops,deaths,frames_alive,wall_ratio,accuracy,avg_dist,reward_mode
1,295.69681179268593,3,2,1,115,0.0,0.6666666666666666,22.202583059378526,speedrunner
2,2165.522445620031,20,1,1,1032,0.0,0.05,256.387488948636,speedrunner
3,365.2021771821814,4,3,1,129,0.0,0.75,11.856245770966469,speedrunner
4,362.95920996775334,4,2,1,136,0.0,0.5,19.652187559277284,speedrunner
5,744.5433073630704,6,0,1,327,0.0,0.0,152.82621761233156,speedrunner
6,1013.4079010351265,8,1,1,401,0.0,0.125,117.57612154917322,speedrunner
7,375.9178998139733,4,0,1,166,0.0,0.0,79.34051232835358,speedrunner
8,3808.17865396049,29,3,1,1498,0.0,0.10344827586206896,158.3780617555927,speedrunner
9,5646.9294846067705,40,5,0,2000,0.0,0.125,107.88381442415344,speedrunner
10,428.9526986518787,5,0,1,252,0.0,0.0,273.30089419456476,speedrunner
11,407.88088988039476,4,2,1,150,0.0,0.5,17.381850199342175,speedrunner
12,2114.215494497229,16,2,1,782,0.0,0.125,105.23481633720321,speedrunner
13,1631.1890136561178,13,5,1,539,0.0,0.38461538461538464,43.96149644892488,speedrunner
14,3283.0958945244834,36,2,1,1881,0.0,0.05555555555555555,356.3402585693139,speedrunner
15,101.5117692000596,2,0,1,71,0.0,0.0,82.00081267584655,speedrunner
16,5332.100416442166,41,6,0,2000,0.0,0.14634146341463414,149.83119794472884,speedrunner
17,696.7084151748089,6,2,1,248,0.0,0.3333333333333333,36.009662122168464,speedrunner
18,1749.430933435135,13,3,1,603,0.0,0.23076923076923078,58.332946337009105,speedrunner
19,1115.0320278699342,10,1,1,477,0.0,0.1,173.03876946020222,speedrunner
20,4934.393271915309,35,3,1,1821,0.0,0.08571428571428572,117.74529490454258,speedrunner
