episode,reward,shots,pops,deaths,frames_alive,wall_ratio,accuracy,avg_dist,reward_mode
1,1142.2998460155463,16,0,1,879,0.0,0.0,119.50236290355721,survivor
2,1616.722350878317,25,3,1,1233,0.0,0.12,142.95930621317035,survivor
3,473.6501693051008,9,2,1,355,0.0,0.2222222222222222,46.78849393647803,survivor
4,2692.934966614832,40,6,0,2000,0.0,0.15,169.315008346292,survivor
5,207.62426077433616,5,0,1,234,0.0,0.0,167.05286159329862,survivor
6,1400.9783824126562,20,4,1,1003,0.0,0.2,98.40808454005186,survivor
7,654.5053008896701,10,3,1,469,0.0,0.3,53.73102250568237,survivor
8,1813.72042127684,28,4,1,1405,0.0,0.14285714285714285,160.14041947443363,survivor
9,55.9065940973764,2,0,1,106,0.0,0.0,84.07266935199797,survivor
10,46.3628941474727,2,0,1,106,0.0,0.0,129.09012194588288,survivor
11,452.57125935507315,9,0,1,442,0.0,0.0,200.69427674765464,survivor
12,357.9942881126311,6,1,1,289,0.0,0.16666666666666666,49.81092022036198,survivor
13,1798.2143853574266,36,2,1,1875,0.0,0.05555555555555555,326.0508305713532,survivor
14,-0.49642128949004416,2,0,1,71,0.0,0.0,117.2635302076764,survivor
15,214.30547611813,5,3,1,176,0.0,0.6,17.299783755312543,survivor
16,4.15529326419589,2,0,1,72,0.0,0.0,94.75490788752853,survivor
17,2307.3819206702915,38,2,0,2000,0.0,0.05263157894736842,255.4507698324276,survivor
18,29.90430872784964,2,0,1,89,0.0,0.0,89.10500714691237,survivor
19,381.38858898100574,7,1,1,319,0.0,0.14285714285714285,86.6009577100227,survivor
20,2062.26122849254,29,5,1,1442,0.0,0.1724137931034483,94.59908859482007,survivor
