episode,reward,shots,pops,deaths,frames_alive,wall_ratio,accuracy,avg_dist,reward_mode
1,231.57027151644655,0,0,1,228,0.0,0.0,94.25379053410866,survivor
2,463.2587403194873,0,0,1,377,0.0,0.0,75.78416403251016,survivor
3,205.6779200583676,0,0,1,237,0.008438818565400843,0.0,176.52337540428752,survivor
4,-10.337073008425875,0,0,1,57,0.0,0.0,24.00941235461288,survivor
5,65.62622567319377,0,0,1,106,0.0,0.0,35.961199654746295,survivor
6,445.54051655494527,0,0,1,405,0.0,0.0,149.4561524013022,survivor
7,1234.268246557785,0,0,1,913,0.0,0.0,93.3908835937651,survivor
8,597.5801737641233,2,0,1,771,0.4383916990920882,0.0,360.91428419966076,survivor
9,2084.2843242242316,14,1,1,1791,0.46621998883305416,0.07142857142857142,206.87483969172857,survivor
10,77.06512951683436,0,0,1,111,0.0,0.0,19.976894068313637,survivor
11,47.11407665099355,0,0,1,98,0.0,0.0,65.99960892350232,survivor
12,1440.840960614015,7,2,1,1118,0.370304114490161,0.2857142857142857,135.81352387566207,survivor
13,1924.6756396441394,1,0,1,2115,0.7096926713947991,0.0,328.28708282644453,survivor
14,51.90981401394629,0,0,1,102,0.0,0.0,72.25581365712564,survivor
15,308.46819264736973,1,0,1,269,0.0,0.0,63.12603597143186,survivor
16,77.10383578129779,0,0,1,152,0.0,0.0,236.99396124573147,survivor
17,41.61192316086294,1,0,1,93,0.0,0.0,56.01116580181236,survivor
18,290.46189251371277,3,0,1,276,0.2318840579710145,0.0,110.10526718530271,survivor
19,-33.376652973410145,1,0,1,42,0.0,0.0,15.733963969168604,survivor
20,158.52688696087728,0,0,1,196,0.0,0.0,161.28345163041524,survivor
